Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC
0x,40,,ZRX,0.3399,0.00004291,0.32,-4.69,33.14,14.83,5.10,-3.20,-55.79,-71.28,199.98 MM,,43.39 MM
Electroneum,100,,ETN,0.0057,0.00000072,-3.17,21.73,11.41,-14.26,-26.24,-28.50,-66.60,-51.55,54.15 MM,,1.27 MM
Apollo Currency,174,,APL,0.0015,0.00000019,-0.50,5.13,2.58,-22.00,88.70,89.77,11.61,,22.50 MM,,1.16 MM
Zcash,22,,ZEC,76.53,0.00966221,0.45,1.61,36.10,45.53,24.35,16.46,-40.57,-58.48,501.00 MM,,1.02 Bn
Nano,36,,NANO,1.85,0.00023367,0.83,-2.80,25.96,97.79,85.04,70.97,-1.62,-22.35,246.63 MM,,27.32 MM
Dash,13,,DASH,151.59,0.01913793,0.59,0.81,35.31,108.29,81.21,65.44,-10.75,-40.02,1.34 Bn,,579.09 MM
PIVX,123,,PIVX,0.6688,0.00008444,-0.43,-1.36,16.76,-10.71,-23.32,-6.32,-50.03,-64.79,37.98 MM,,2.88 MM
Qtum,31,,QTUM,3.16,0.00039943,-0.47,0.65,35.57,52.17,38.79,17.10,-21.32,-59.25,302.86 MM,,389.89 MM
Augur,34,,REP,23.51,0.00296836,-0.29,0.33,21.43,59.39,149.91,163.42,60.75,-21.49,258.63 MM,,17.09 MM
Bancor,108,,BNT,0.7635,0.00009639,-0.12,3.50,36.23,40.69,11.24,19.40,-44.40,-66.11,46.53 MM,,4.75 MM
IOTA,14,,MIOTA,0.4195,0.00005296,-0.17,-0.71,53.39,39.22,13.01,13.56,-15.07,-57.26,1.17 Bn,,55.74 MM
Cardano,10,,ADA,0.0890,0.00001124,-0.46,-0.89,44.72,104.04,80.60,103.42,15.94,-46.07,2.31 Bn,,288.79 MM
QuarkChain,153,,QKC,0.0234,0.00000296,-0.26,0.21,16.32,-31.82,-41.66,-47.20,-51.95,-68.49,26.62 MM,,16.75 MM
Golem,62,,GNT,0.0957,0.00001208,0.74,10.59,41.30,47.92,33.86,30.40,-43.82,-68.83,92.22 MM,,12.41 MM
NEM,17,,XEM,0.0967,0.00001220,1.74,32.42,103.30,73.15,45.86,29.91,2.83,-42.67,869.87 MM,,107.25 MM
Bitcoin,1,,BTC,"7,920.90",1.0000,0.04,-2.58,29.76,121.72,95.92,98.00,22.25,7.07,140.23 Bn,,33.59 Bn
Lisk,33,,LSK,2.21,0.00027947,-1.73,7.75,27.74,80.76,57.64,44.49,-22.56,-56.09,258.94 MM,,10.42 MM
Monero,12,,XMR,88.06,0.01111802,-0.21,-5.57,35.78,93.35,68.42,62.32,-20.15,-33.14,1.50 Bn,,79.86 MM
Aion,83,,AION,0.2250,0.00002840,0.52,-1.15,27.95,68.69,36.49,32.56,-45.00,-74.79,69.65 MM,,6.59 MM
Skycoin,151,,SKY,1.83,0.00023074,0.62,14.25,63.17,78.37,59.17,62.01,-40.43,-70.56,27.41 MM,,23.89 MM
TRON,11,,TRX,0.0290,0.00000366,-0.11,-5.23,23.13,11.42,26.07,39.79,24.03,-18.49,1.93 Bn,,1.26 Bn
Polymath,117,,POLY,0.0973,0.00001229,-0.03,-1.01,26.39,-21.17,-31.30,-36.07,-63.07,-72.75,41.15 MM,,14.65 MM
Bitcoin Private,731,,BTCP,0.3069,0.00003874,0.23,12.47,52.08,-74.18,-81.21,-85.47,-84.62,-95.45,1.44 MM,,101.52 K
GoChain,225,,GO,0.0221,0.00000280,0.97,-2.60,30.56,1.01,-8.41,-20.68,-66.71,-68.18,15.83 MM,,2.83 MM
Burst,385,,BURST,0.0032,0.00000041,0.99,-8.15,-39.74,-13.82,-10.62,-42.76,-59.35,-75.86,6.56 MM,,336.42 K
BitShares,41,,BTS,0.0718,0.00000907,-0.40,6.30,41.01,83.66,58.43,63.67,-26.12,,195.16 MM,,25.80 MM
Steem Dollars,334,,SBD,1.02,0.00012845,-0.50,-0.33,8.23,7.50,25.81,43.28,3.93,-16.87,9.06 MM,,1.07 MM
IoTeX,129,,IOTX,0.0104,0.00000132,0.10,-2.85,24.74,36.45,28.17,18.46,-43.10,-55.68,36.50 MM,,2.80 MM
Zilliqa,47,,ZIL,0.0187,0.00000236,0.05,-4.93,18.80,-16.30,-16.06,-6.76,-46.27,-74.36,162.16 MM,,38.54 MM
XRP (Ripple),3,,XRP,0.4180,0.00005277,0.01,-3.49,40.63,31.36,14.49,10.35,-18.34,-8.32,17.61 Bn,,4.94 Bn
Bitcoin Cash,4,,BCH,402.05,0.05075800,-0.16,1.27,42.09,208.81,140.87,107.69,-30.42,-48.15,7.15 Bn,,4.48 Bn
