Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Bitcoin,135.30,7920.90,- 19.03,2455.79,N/A,140.23 Bn,33.59 Bn,5405144268,69,25.00,19535.70,-59.45,1.00,0.00
Ethereum,2.83,260.10,- 21.46,3684.30,N/A,27.60 Bn,18.12 Bn,2643283152,42,17.00,1389.18,-81.28,0.1511,-78.27
XRP (Ripple),0.0059,0.4180,- 17.18,4984.97,N/A,17.61 Bn,4.94 Bn,471603727,66,42.00,3.65,-88.55,0.0003,-78.99
Bitcoin Cash,555.89,402.05,- 42.17,- 78.91,N/A,7.15 Bn,4.48 Bn,218570156,18,42.00,4091.70,-90.17,0.3418,-85.15
EOS,1.03,6.49,- 24.90,131.14,N/A,5.92 Bn,4.05 Bn,729732893,19,25.00,21.46,-69.76,0.0023,-63.90
Litecoin,4.30,95.49,- 14.63,694.74,N/A,5.90 Bn,6.46 Bn,639994293,69,33.00,366.15,-73.92,0.0483,-75.04
Binance Coin,0.1152,25.97,- 10.26,6566.77,N/A,3.67 Bn,379.40 MM,46551737,18,50.00,25.97,0.00,0.0033,0.00
Tether,1.21,1.00,0.1176,- 17.51,N/A,2.83 Bn,34.22 Bn,3892905490,47,42.00,1.06,-5.19,0.0047,-97.29
Stellar,0.0030,0.1383,- 33.01,2511.47,N/A,2.65 Bn,887.14 MM,115857156,54,17.00,0.8517,-83.76,0.00005808,-69.94
Cardano,0.0217,0.0890,- 21.83,74.08,N/A,2.31 Bn,288.79 MM,27481499,16,25.00,1.15,-92.27,0.00007743,-85.48
TRON,0.0021,0.0290,3.77,1175.23,N/A,1.93 Bn,1.26 Bn,268864804,17,42.00,0.2548,-88.61,0.00001687,-78.30
Monero,2.47,88.06,- 27.34,1646.97,N/A,1.50 Bn,79.86 MM,29651141,57,42.00,494.16,-82.18,0.0329,-66.24
