Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
Bitcoin,7920.90,3452.24,3452.24,3452.24,4456.84,4419.21,5388.26,7658.11,8130.50,45692.09,115558.59
Ethereum,260.10,112.49,133.87,240.75,138.33,137.16,167.23,237.68,252.34,1418.13,3586.55
XRP (Ripple),0.4180,0.3130,0.3724,0.6698,0.3849,0.3816,0.4653,0.6613,0.7021,3.95,9.98
Bitcoin Cash,402.05,123.09,146.48,263.43,151.36,150.08,182.99,260.07,276.12,1551.73,3924.44
EOS,6.49,2.50,2.98,5.35,3.07,3.05,3.72,5.28,5.61,31.52,79.71
Litecoin,95.49,35.86,42.68,76.76,44.10,43.73,53.32,75.78,80.45,452.13,1143.46
Binance Coin,25.97,8.14,9.69,17.42,10.01,9.92,12.10,17.20,18.26,102.61,259.51
Tether,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Stellar,0.1383,0.0818,0.0973,0.1750,0.1005,0.0997,0.1215,0.1727,0.1834,1.03,2.61
Cardano,0.0890,0.0396,0.0471,0.0848,0.0487,0.0483,0.0589,0.0837,0.0889,0.4994,1.26
TRON,0.0290,0.0274,0.0327,0.0587,0.0337,0.0335,0.0408,0.0580,0.0616,0.3460,0.8750
Monero,88.06,45.22,53.81,96.78,55.61,55.14,67.23,95.55,101.44,570.09,1441.80
Dash,151.59,71.19,84.72,152.37,87.54,86.80,105.84,150.42,159.70,897.51,2269.87
IOTA,0.4195,0.2611,0.3107,0.5587,0.3210,0.3183,0.3881,0.5516,0.5856,3.29,8.32
Bitcoin SV,65.50,63.58,75.66,136.07,78.18,77.52,94.52,134.34,142.62,801.52,2027.10
Tezos,1.70,0.3886,0.4625,0.8317,0.4779,0.4738,0.5777,0.8211,0.8718,4.90,12.39
NEM,0.0967,0.0386,0.0459,0.0825,0.0474,0.0470,0.0573,0.0815,0.0865,0.4860,1.23
Ethereum Classic,7.63,4.05,4.82,8.67,4.98,4.94,6.02,8.56,9.08,51.05,129.11
NEO,12.17,7.40,8.81,15.84,9.10,9.03,11.00,15.64,16.60,93.32,236.01
