Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC
Cosmos,16,3.76,0.00049883,-1.13,2.38,-2.21,18.32,0.73,39.71,37.70,-18.23,717.91 MM,,197.78 MM,,190.688 MM
0x,44,0.2352,0.00003116,-1.12,-2.82,-7.78,-4.02,-23.08,-27.63,44.03,-25.26,141.63 MM,,14.45 MM,,602.160 MM
Monero,13,54.83,0.00726531,0.32,1.14,1.25,8.14,-13.68,3.24,-30.04,-37.84,951.03 MM,,148.59 MM,,17.344 MM
Zilliqa,84,0.0065,0.00000087,1.26,5.14,26.06,32.47,0.81,36.11,-5.78,-66.46,63.61 MM,,17.58 MM,,9.734 Bn
IOTA,19,0.2054,0.00002722,-0.26,-0.17,-0.63,-4.82,-26.69,-20.09,-16.23,-49.62,571.04 MM,,4.45 MM,,2.780 Bn
Dash,21,52.66,0.00697694,-0.34,-0.02,-3.07,-5.42,-27.71,-20.88,-39.68,-67.97,484.37 MM,,255.34 MM,,9.199 MM
Apollo Currency,266,0.0007,0.00000010,-0.26,2.96,-4.59,2.51,-48.44,-10.35,-31.41,-50.63,10.90 MM,,990.43 K,,14.685 Bn
PIVX,244,0.2218,0.00002939,0.31,1.03,-1.44,13.13,-6.19,1.00,-35.67,-66.37,12.59 MM,,217.33 K,,56.781 MM
Bancor,208,0.2684,0.00003557,0.70,0.08,-2.32,8.63,-17.13,-11.65,-26.99,-63.05,16.88 MM,,14.55 MM,,62.870 MM
Golem,114,0.0372,0.00000492,0.15,0.19,-0.25,1.18,-17.84,-16.54,-36.67,-57.72,36.42 MM,,2.00 MM,,980.050 MM
Qtum,39,1.76,0.00023262,-0.11,0.13,-1.56,2.61,-20.82,7.00,-16.70,-43.49,168.93 MM,,255.63 MM,,96.219 MM
Electroneum,109,0.0039,0.00000052,0.00,0.32,1.12,17.57,4.53,9.22,10.02,-18.95,38.69 MM,,114.41 K,,9.914 Bn
Cardano,10,0.0387,0.00000513,-0.05,0.84,-2.76,5.30,-10.51,6.20,-17.01,-53.99,1.00 Bn,,29.69 MM,,25.927 Bn
Nano,53,0.8230,0.00010905,-0.33,-0.06,-4.01,5.04,-14.95,12.52,-10.92,-52.96,109.67 MM,,1.65 MM,,133.248 MM
Lisk,62,0.6860,0.00009090,-0.03,0.16,-0.08,1.83,-14.13,-6.76,-36.80,-66.07,83.62 MM,,952.66 K,,121.897 MM
QuarkChain,283,0.0041,0.00000055,0.10,4.06,0.53,8.11,-15.93,-7.49,-59.89,-82.56,10.00 MM,,1.96 MM,,2.419 Bn
Ravencoin,41,0.0324,0.00000430,-2.80,10.98,44.82,49.12,10.43,16.22,1.54,-42.85,162.88 MM,,47.14 MM,,5.020 Bn
Nexo,92,0.0973,0.00001290,0.01,1.29,4.59,2.82,-5.75,6.72,17.05,45.51,54.51 MM,,9.19 MM,,560.000 MM
TRON,12,0.0146,0.00000194,0.07,-0.73,-4.91,1.88,-25.26,-1.69,-7.66,-48.83,974.58 MM,,930.78 MM,,66.682 Bn
WAXP,182,0.0211,0.00000280,-0.43,-2.97,-9.93,0.52,-22.29,-4.98,-47.80,-70.41,20.02 MM,,195.14 K,,947.225 MM
