Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
MineBee,0.1171,0.0270,- 24.62,- 77.39,49297452,49.40 MM,763.41 K,787751,3,0.00,0.1177,-77.07,0.00001225,-70.46
Aeternity,0.6843,0.1638,- 7.73,- 76.73,58697188,48.05 MM,21.32 MM,31875309,30,33.00,5.00,-96.72,0.0015,-98.53
Ardor,0.0367,0.0467,- 4.73,34.39,51871730,46.67 MM,1.92 MM,2561726,40,33.00,2.03,-97.70,0.0001,-95.73
Jewel,0.2905,0.8449,85.17,147.88,34879637,46.22 MM,1.47 K,97814,9,33.00,3.30,-74.38,0.0004,-73.32
Breezecoin,0.5385,0.4529,- 62.13,- 17.23,43553623,45.29 MM,123.03 K,85772,13,17.00,0.7145,-36.61,0.0002,-72.34
VestChain,0.0155,0.0063,- 3.30,- 57.87,41451603,44.76 MM,167.54 K,209470,13,42.00,0.0290,-78.21,0.00000549,-84.51
iExec RLC,0.2831,0.5421,42.58,92.28,55191264,43.41 MM,692.79 K,1463892,31,50.00,4.47,-87.88,0.0005,-85.51
Steem,0.6429,0.1188,- 9.25,- 81.23,47831532,41.94 MM,783.99 K,1921796,44,42.00,7.31,-98.38,0.0065,-99.76
LAToken,0.2179,0.1064,12.41,- 45.48,31338657,40.46 MM,121.59 K,584008,25,42.00,1.87,-94.32,0.0001,-87.85
botXcoin,0.0145,0.0248,34.25,57.57,34722299,40.39 MM,337.46 K,387506,8,42.00,0.0248,0.00,0.00000332,0.00
Kyber Network,1.85,0.2377,4.33,- 88.82,29021489,40.06 MM,9.86 MM,5672414,26,33.00,5.84,-95.93,0.0005,-93.49
FABRK,0.0052,0.0083,- 2.27,49.71,31015636,39.93 MM,1.14 MM,32125554,3,8.00,0.0107,-22.23,0.00000131,-14.55
Enigma,0.6133,0.5309,13.81,- 23.07,28417561,39.73 MM,1.50 MM,1664060,26,42.00,8.06,-93.42,0.0006,-87.14
Chiliz,0.0164,0.0103,17.82,- 32.33,48653114,38.95 MM,2.82 MM,6707286,5,8.00,0.0207,-50.06,0.00000207,-32.81
Horizen,10.75,4.86,5.89,- 50.00,40310733,38.46 MM,1.03 MM,1074103,30,33.00,65.16,-92.54,0.0050,-86.82
Joule,0.0394,0.0380,- 16.47,- 2.13,0,38.42 MM,58.11 K,48576,0,0.00,0.0393,-3.24,0.00000537,-4.84
Electroneum,0.0944,0.0039,3.73,- 95.97,35704424,38.23 MM,169.60 K,595874,25,25.00,0.1918,-97.99,0.00001302,-96.01
CRPT,2.04,0.4360,5.86,- 78.94,41012333,36.96 MM,198.89 K,302146,22,50.00,1.52,-71.30,0.0002,-61.85
Status,0.0618,0.0105,- 11.35,- 82.02,41919883,36.52 MM,177.66 MM,198331868,29,50.00,0.6087,-98.27,0.00004042,-96.51
Golem,0.0151,0.0369,- 13.94,152.12,41614547,36.12 MM,2.11 MM,3766352,36,33.00,1.16,-96.82,0.0003,-98.19
SOLVE,0.1425,0.1102,1.55,- 14.92,37871420,36.08 MM,768.40 K,712614,10,25.00,0.5326,-79.31,0.00006786,-78.19
Pundi X,0.0010,0.0002,- 25.76,- 84.51,39549594,35.92 MM,886.62 K,1918174,20,33.00,0.0153,-99.00,0.00000233,-99.14
STASIS EURO,1.17,1.11,- 0.02,- 6.16,35144284,35.62 MM,698.00 K,651752,16,42.00,1.26,-11.63,0.0004,-57.56
Energi,0.2646,1.52,- 32.53,486.12,45885540,35.37 MM,355.94 K,417491,15,50.00,9.71,-84.38,0.0009,-76.15
DigixDAO,31.90,17.49,7.24,- 42.59,26025267,34.99 MM,461.31 K,998694,44,42.00,553.57,-96.84,0.0745,-96.85
Buggyra Coin Zero,0.0137,0.0173,- 7.34,25.04,32626160,34.88 MM,9.66 K,24046,14,50.00,0.0985,-82.38,0.00001980,-88.23
ILCoin,0.0475,0.1008,36.95,120.73,40870306,34.80 MM,423.05 K,545474,12,42.00,1.15,-91.27,0.0003,-95.43
Fetch,0.4077,0.0524,5.83,- 85.07,27280168,34.31 MM,19.13 MM,15862101,9,25.00,0.3252,-83.87,0.00006828,-89.69
Cryptoindex.com 100,0.8620,0.5456,- 10.32,- 37.42,37938169,34.05 MM,65.28 K,78239,5,8.00,0.8963,-39.13,0.00007973,-8.11
aelf,1.10,0.0624,- 7.26,- 94.11,41819345,33.95 MM,9.99 MM,11035634,23,42.00,2.59,-97.59,0.0002,-96.27
Digitex Futures,0.0149,0.0428,6.10,213.73,36137203,33.67 MM,1.31 MM,1605048,18,50.00,0.1595,-73.15,0.00002684,-78.58
BitMax Token,0.0153,0.0499,- 19.14,230.79,34097248,33.24 MM,2.31 MM,2773165,11,50.00,0.3222,-84.52,0.00008075,-91.70
BitForex Token,0.0106,0.0078,- 11.72,- 27.01,39907479,33.17 MM,271.92 K,3173262,3,8.00,0.0143,-45.49,0.00000164,-36.11
CryptoVerificationCoin,49.22,56.03,- 3.24,11.35,34839580,32.64 MM,27.89 K,18009,4,25.00,67.32,-16.76,0.0075,-0.03
RIF Token,0.2034,0.0603,- 25.15,- 70.49,43136071,32.39 MM,3.93 MM,18880952,11,42.00,0.1609,-62.50,0.00004007,-79.79
GNY,0.2236,0.1684,49.53,- 43.80,18809963,32.39 MM,29.39 K,21617,7,17.00,0.2233,-24.59,0.00002609,-13.33
Velas,0.0192,0.0249,9.70,25.25,0,32.28 MM,1.10 MM,2122460,2,8.00,0.0734,-66.11,0.00001031,-67.61
NEXT,1.98,0.7927,- 21.26,- 60.37,38421550,32.10 MM,290.32 K,733061,9,42.00,2.51,-68.44,0.0005,-78.50
Nash Exchange,1.83,0.8845,- 29.24,- 55.41,33838827,32.02 MM,1.56 MM,1641256,8,25.00,3.42,-74.12,0.0004,-66.77
ZCoin,0.3678,3.51,- 13.49,859.74,38218462,31.40 MM,3.57 MM,5862884,38,42.00,141.19,-97.52,0.0098,-95.21
Ecoreal Estate,0.0665,0.1499,- 21.35,59.56,19523653,31.32 MM,17.81 K,2173,14,67.00,0.2381,-37.05,0.00003138,-35.86
Noah Coin,0.0375,0.0010,49.43,- 97.20,32920127,31.10 MM,2.52 K,1108,20,42.00,0.0126,-92.46,0.00000166,-92.18
Silverway,1.19,0.3097,29.20,- 70.08,79987933,30.97 MM,2.31 MM,4229642,5,17.00,2.19,-85.86,0.0002,-77.88
Veritaseum,48.96,14.21,3.57,- 70.58,38017343,30.56 MM,4.23 K,15854,30,50.00,474.09,-97.00,0.0889,-97.85
Grin,10.41,1.09,- 18.38,- 89.21,32246597,30.29 MM,27.19 MM,35877487,10,25.00,6.48,-83.24,0.0017,-91.25
Metaverse ETP,5.78,0.3923,- 17.75,- 93.00,33285927,30.26 MM,11.14 MM,8287935,30,33.00,5.76,-93.18,0.0022,-97.66
Aurora,0.0582,0.0046,- 28.67,- 92.08,46715978,30.17 MM,2.33 MM,1937140,17,42.00,0.0601,-92.33,0.00000893,-93.06
Ren,0.0798,0.0359,- 10.54,- 50.86,40257063,29.37 MM,2.49 MM,3110790,21,58.00,0.1470,-75.60,0.00001648,-70.81
Stratis,0.0138,0.2942,- 8.20,2051.83,30668767,29.30 MM,25.60 MM,3084308,40,33.00,21.21,-98.61,0.0041,-99.04
