"","X","MC.._past","Symbol_past","Price_past","BTC_past","X1h_past","X24h_past","X7d_past","X14d_past","X30d_past","X45d_past","X90d_past","X200d_past","Mkt..Cap_past","MCAP.BTC_past","X24h.Vol_past","X24h.Vol.BTC_past","Circ..Supply_past","Total.Supply_past","Max..Supply_past","Team_past","Advisors_past","Brand.Buzz_past","Product_past","Coin_past","Social_past","Communication_past","Business_past","GitHub_past","Age..mo._past","Winning.months_past","Start.price_past","CMGR....3mo_past","Cum..ROI_past","Avg..volume_past","ATH_past","X..fm..ATH_past","ATH..BTC._past","X..fm..ATH..BTC._past","Name","Mkt.BTC_c","growth8mth","BTCprice_change","BTCmcap_change","success"
"1",1,504,"ZCN",0.0992,1.25238293628249e-05,-0.79,5.76,25.26,"19.15","-2.79","-14.40","-56.7","-74.54",3980000,3980000,17340,17340,40116000,"200,000,000",NA,65.25,86,100,80,48,66,55,100,55,"7","7",0.4968,"- 29.75","- 86.48",19882,0.5853,-83.05,8.791e-05,-85.75,"0chain",502.468153871404,-8.03562492511279e-06,-64.1626829327881,-64.1112294983774,0
"2",2,40,"ZRX",0.3399,4.29117903268568e-05,0.32,-4.69,33.14,"14.83","5.10","-3.20","-55.79","-71.28",199980000,199980000,43390000,43390000,588414000,"1,000,000,000",NA,91.8,83,100,90,88,88,95,100,100,"18","18",0.1117,"- 32.31","110.28",9011342,2.37,-85.67,2e-04,-79.58,"0x",25247.13100784,-1.16012212732936e-05,-27.0350437139251,-25.3203623099713,0
"3",3,883,"0xBTC",0.1745,2.20303248368241e-05,-3.27,3.76,19.82,"2.90","-17.70","-47.12","-61.19","-78.99",772890,772890,1250000,1250000,4429000,"20,999,984",NA,66.3,NA,NA,10,86,66,0,70,80,"8","8",1.46,"- 33.53","- 90.77",417539,2.18,-92,3e-04,-93.31,"0xBitcoin",97.57603302655,-1.19585803545772e-05,-54.2823605332782,-43.7974200505021,0
"4",4,905,"ZXC",0.0021,2.65121387721092e-07,-3.32,-14.36,6.32,"-32.30","6.04","8.27","-60.37","-93.59",709550,709550,235800,235800,331501000,"500,000,000",NA,64.25,51,50,50,62,65,75,100,70,"7","7",0.0391,"- 20.08","- 93.12",188391,0.0396,-94.6,5.41e-06,-95.01,"0xcert",89.5794669797624,-1.18186123391231e-07,-44.5781173699807,-47.3470635178692,0
"5",5,961,"1WO",0.0247,3.11833251271951e-06,-0.69,1.77,21.42,"-14.53","-12.98","-40.52","-84.65","-85.04",518480,518480,2060,2060,20981000,"37,219,453",NA,67.35,83,100,30,80,68,5,100,70,"11","11",0.3839,"- 48.31","- 94.80",10265,0.5389,-95.41,6.448e-05,-95.16,"1World",65.457208145539,5.41062740681102e-05,1735.10277840524,1910.07427691074,1
"6",6,1106,"2GIVE",5e-04,6.31241399335934e-08,-12.31,-9.14,-43.6,"-64.95","-68.33","-72.40","-82.55","-91.6",247090,247090,98170,98170,521188000,"521,187,996",NA,33.7,0,0,30,78,31,0,30,20,"33","33",2e-04,"- 25.43","534.65",839,0.0381,-98.75,2.4e-06,-97.5,"2GIVE",31.1946874723832,-5.27598606978171e-08,-83.5811161202679,-82.6362480533068,0
"7",7,782,"42",27460.39,3.4668270019821,6.83,37.49,89.43,"39.50","27.32","36.65","34.77","6.87",1150000,1150000,811,811,969,"42",NA,53.55,NA,NA,30,100,43,0,100,30,"61","61",1013620,"- 7.20","- 98.25",338,354434,-92.25,419.61,-99.17,"42-coin",145.185521847265,-1.5395960237539,-44.4093698033868,-44.2479080977419,0
"8",8,1113,"KWATT",0.0044,5.55492431415622e-07,-0.3,16.16,30.06,"51.89","-18.85","-72.24","-78.4","-78.4",238710,238710,69520,69520,54614000,"150,000,000",NA,42.4,63,75,50,40,55,5,100,5,"5","5",0.0652,"- 55.22","- 97.22",41765,0.1794,-97.56,2.572e-05,-97.86,"4NEW",30.1367268870962,-5.42134680112907e-07,-97.5953315387802,-96.0197201524981,0
"9",9,1280,"ABS",0.0082,1.03523589491093e-06,-0.15,-12.9,0.06,"-45.76","-56.87","-69.93","-79.68","-79.68",96100,96100,4850,4850,11686000,"12,199,278",52500000,50.5,NA,NA,10,71,33,45,100,70,"3","3",0.0508,"- 21.71","- 69.72",4381,0.0925,-91.11,2.376e-05,-95.62,"Absolute",12.1324596952367,-7.28007614948494e-07,-70.3228721615307,-67.7298997468518,0
"10",10,1567,"AAA",2e-04,2.52496559734374e-08,-0.12,-1.92,38.12,"110.68","-76.39","-92.55","-96.85","-96.85",2380,2380,11430,11430,15091000,"397,000,000",NA,45,18,0,20,86,46,0,100,30,"5","5",0.3343,"- 82.06","- 99.98",2029,0.594,-99.97,8.853e-05,-99.98,"Abulaba",0.300470906083905,-2.26462302445383e-08,-89.6892625719816,-70.0366185353213,0
"11",11,594,"AC3",0.0053,6.6911588329609e-07,-0.11,8.38,-17.98,"125.62","84.07","-57.75","-83.42","-97.75",2590000,2590000,2420,2420,491008000,"550,000,000",1e+08,57.45,44,100,35,68,62,0,100,50,"9","9",0.412,"- 63.60","- 99.61",154,0.377,-98.6,4.535e-05,-98.52,"AC3",326.983044856014,-5.35538370268943e-07,-80.0367146615712,-78.977812677095,0
"12",12,1717,"ACC",0.0134,1.6917269502203e-06,0,-2.02,14.52,"24.68","-75.02","-80.78","-84.55","-84.55",1,1,1,1,1,NA,NA,33.5,0,0,0,78,23,0,100,30,"12","12",1.06,"- 52.40","- 99.04",231,2.72,-99.51,2e-04,-99.31,"ACChain",0.000126248279867187,-2.8916306343526e-07,-17.0927739489877,5.80541229367272,0
"13",13,966,"ACE",0.0427,5.39080155032888e-06,-2.02,-4.11,33.66,"230.94","205.22","126.38","-16.71","-62.94",507070,507070,62320,62320,11862000,"14,476,036",NA,66.15,55,100,35,73,65,10,100,100,"13","13",0.4521,"- 35.85","- 96.91",39947,1.9,-97.75,1e-04,-95.47,"Ace",64.0167152722544,-3.81458689660854e-06,-70.7610336050273,-70.3201493982053,0
"14",14,221,"ACT",0.0181,2.28509386559608e-06,0.08,-0.86,17.42,"164.98","142.18","117.55","-28.73","-77.26",16090000,16090000,3500000,3500000,889639000,"1,000,000,000",1e+09,69.8,51,25,90,92,76,5,100,50,"17","17",0.2377,"- 36.96","- 97.30",231541,1.37,-98.68,9.582e-05,-97.62,"Achain",2031.33482306304,-1.47027103613049e-06,-64.3418223761655,-61.7943166298174,0
"15",15,1455,"ACOIN",0.0217,2.73958767311795e-06,0,68.89,68.89,"144.86","291.94","90.00","-15.79","-77.17",26470,26470,1,1,1220000,"1,220,085",NA,30.65,NA,NA,10,83,19,0,30,5,"53","53",0.0588,"- 31.64","- 85.44",0.3667,0.4425,-95.1,2e-04,-98.35,"Acoin",3.34179196808444,-8.96217993343326e-07,-32.7136087717655,-32.927283026527,0
"16",16,1124,"ACM",0.0219,2.76483732909139e-06,-0.12,-1.96,20.21,"-36.02","-47.99","-13.27","-67.67","-67.67",228940,228940,1330,1330,10477000,"10,477,150",8.4e+07,51.5,NA,NA,10,75,37,20,70,70,"4","4",0.0237,"- 29.77","0.4358",3386,0.1095,-80.04,1.697e-05,-83.73,"Actinium",28.9032811927937,3.7671030579361e-06,136.250441148886,265.401630252436,1
"17",17,578,"AAC",0.0111,1.40135590652577e-06,-1.2,21.44,131.75,"284.71","258.58","294.02","38.78","-62.97",2770000,2770000,7560000,7560000,2.5e+08,"1,000,000,000",NA,47.95,66,0,50,78,61,5,100,0,"13","13",0.2033,"- 36.22","- 98.90",470863,0.2245,-95.06,2.35e-05,-94.04,"Acute Angle Cloud",349.707735232107,-1.18763188568234e-06,-84.7487693991102,-85.1601224800668,0
"18",18,781,"ADB",0.0018,2.27246903760936e-07,3.38,2.04,27.71,"70.17","52.74","15.79","-34.45","-74.98",1160000,1160000,45040,45040,663463000,"1,000,000,000",NA,64.5,86,50,50,88,57,80,100,45,"12","12",0.0388,"- 31.30","- 97.75",22148,0.0289,-93.93,3.14e-06,-93,"adbank",146.448004645937,-1.87173649852792e-07,-82.3657646177212,-79.133530887566,0
"19",19,1062,"ACC",0.0196,2.47446628539686e-06,-3,-27.09,19.95,"36.15","74.07","36.20","10.5","-35.91",306190,306190,644,644,15625000,"31,817,979",NA,57.8,46,0,50,88,43,90,100,50,"17","17",0.102,"- 11.94","- 88.85",145,0.4743,-95.87,6.858e-05,-96.4,"AdCoin",38.6559608125339,-2.40767752888329e-06,-97.3008823394471,-96.9625736501473,0
