Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months,label_Price,label_Mkt. Cap,label_growth_rate_Price,label_growth_rate_Mkt. Cap,label_disappeared
0x,40.0,ZRX,0.3399,4.291e-05,0.32,-4.69,33.14,14.83,5.1,-3.2,-55.79,-71.28,199.98,199.98,43.39,43.39,588.414,1000000000.0,,91.8,83.0,100.0,90.0,88.0,88.0,95.0,100.0,100.0,100.0,9011342.0,18.0,18.0,0.2344,141.15,-0.3103854074727861,-0.29417941794179414,FALSE
Electroneum,100.0,ETN,0.0057,7.2e-07,-3.17,21.73,11.41,-14.26,-26.24,-28.5,-66.6,-51.55,54.15,54.15,1.27,1.27,9.455,9454625553.0,21000000000.0,91.65,86.0,100.0,90.0,98.0,87.0,95.0,100.0,90.0,90.0,269955.0,15.0,15.0,0.0039,38.31,-0.31578947368421056,-0.2925207756232686,FALSE
Apollo Currency,174.0,APL,0.0015,1.9e-07,-0.5,5.13,2.58,-22.0,88.7,89.77,11.61,11.61,22.5,22.5,1.16,1.16,14.685,21165096531.0,,90.2,,,90.0,100.0,82.0,100.0,100.0,90.0,90.0,911827.0,6.0,6.0,0.0008,11.18,-0.4666666666666667,-0.5031111111111112,FALSE
Zcash,22.0,ZEC,76.53,0.00966221,0.45,1.61,36.1,45.53,24.35,16.46,-40.57,-58.48,501.0,501.0,1.02,1.02,6.546,6546206.0,,88.25,100.0,100.0,80.0,98.0,77.0,55.0,100.0,100.0,100.0,179198463.0,27.0,27.0,29.59,237.27,-0.6133542401672546,-0.5264071856287426,FALSE
Nano,36.0,NANO,1.85,0.00023367,0.83,-2.8,25.96,97.79,85.04,70.97,-1.62,-22.35,246.63,246.63,27.32,27.32,133.248,133248289.0,133248290.0,88.15,66.0,0.0,90.0,98.0,92.0,95.0,100.0,90.0,90.0,2506858.0,23.0,23.0,0.8174,108.92,-0.5581621621621621,-0.558366784251713,FALSE
Dash,13.0,DASH,151.59,0.01913793,0.59,0.81,35.31,108.29,81.21,65.44,-10.75,-40.02,1.34,1.34,579.09,579.09,8.81,8810252.0,18900000.0,87.95,100.0,75.0,100.0,100.0,79.0,45.0,100.0,90.0,90.0,151097305.0,60.0,60.0,52.4,481.98,-0.6543307606042614,358.6865671641791,FALSE
PIVX,123.0,PIVX,0.6688,8.444e-05,-0.43,-1.36,16.76,-10.71,-23.32,-6.32,-50.03,-64.79,37.98,37.98,2.88,2.88,56.781,56781166.0,,87.25,,,90.0,98.0,75.0,100.0,100.0,90.0,90.0,619410.0,36.0,36.0,0.2223,12.62,-0.6676136363636364,-0.6677198525539758,FALSE
Qtum,31.0,QTUM,3.16,0.00039943,-0.47,0.65,35.57,52.17,38.79,17.1,-21.32,-59.25,302.86,302.86,389.89,389.89,95.725,101474528.0,107822406.0,87.05,80.0,75.0,90.0,88.0,76.0,95.0,100.0,100.0,100.0,171498103.0,20.0,20.0,1.74,167.83,-0.44936708860759494,-0.4458495674569108,FALSE
Augur,34.0,REP,23.51,0.00296836,-0.29,0.33,21.43,59.39,149.91,163.42,60.75,-21.49,258.63,258.63,17.09,17.09,11.0,11000000.0,,86.95,86.0,50.0,90.0,88.0,88.0,75.0,100.0,90.0,90.0,10520821.0,39.0,39.0,10.4,114.36,-0.5576350489153552,-0.5578239183389397,FALSE
Bancor,108.0,BNT,0.7635,9.639e-05,-0.12,3.5,36.23,40.69,11.24,19.4,-44.4,-66.11,46.53,46.53,4.75,4.75,60.948,71673161.0,,86.95,63.0,75.0,90.0,98.0,86.0,50.0,100.0,90.0,90.0,1449247.0,20.0,20.0,0.2641,16.6,-0.6540929927963327,-0.6432409198366645,FALSE
IOTA,14.0,MIOTA,0.4195,5.296e-05,-0.17,-0.71,53.39,39.22,13.01,13.56,-15.07,-57.26,1.17,1.17,55.74,55.74,2.78,2779530283.0,2779530283.0,86.75,100.0,100.0,90.0,90.0,77.0,75.0,100.0,90.0,90.0,8583398.0,20.0,20.0,0.2052,570.3,-0.5108462455303934,486.43589743589746,FALSE
Cardano,10.0,ADA,0.089,1.124e-05,-0.46,-0.89,44.72,104.04,80.6,103.42,15.94,-46.07,2.31,2.31,288.79,288.79,25.927,31112483745.0,45000000000.0,86.5,100.0,0.0,90.0,88.0,80.0,100.0,100.0,100.0,100.0,27481499.0,16.0,16.0,0.0385,998.32,-0.5674157303370786,431.1731601731602,FALSE
QuarkChain,153.0,QKC,0.0234,2.96e-06,-0.26,0.21,16.32,-31.82,-41.66,-47.2,-51.95,-68.49,26.62,26.62,16.75,16.75,1.136,10000000000.0,,86.35,83.0,100.0,80.0,76.0,84.0,80.0,100.0,100.0,100.0,16995214.0,8.0,8.0,0.0041,10.0,-0.8247863247863249,-0.6243425995492111,FALSE
Golem,62.0,GNT,0.0957,1.208e-05,0.74,10.59,41.3,47.92,33.86,30.4,-43.82,-68.83,92.22,92.22,12.41,12.41,963.622,1000000000.0,,85.9,100.0,25.0,90.0,88.0,88.0,20.0,100.0,100.0,100.0,1123670.0,27.0,27.0,0.0367,36.0,-0.6165099268547544,-0.6096291476903057,FALSE
NEM,17.0,XEM,0.0967,1.22e-05,1.74,32.42,103.3,73.15,45.86,29.91,2.83,-42.67,869.87,869.87,107.25,107.25,9.0,8999999999.0,,85.85,100.0,75.0,90.0,98.0,77.0,45.0,100.0,90.0,90.0,13781315.0,46.0,46.0,0.036,324.01,-0.6277145811789039,-0.6275190545713727,FALSE
Bitcoin,1.0,BTC,7920.9,1.0,0.04,-2.58,29.76,121.72,95.92,98.0,22.25,7.07,140.23,140.23,33.59,33.59,17.704,17704275.0,21000000.0,85.8,,,100.0,90.0,72.0,5.0,100.0,100.0,100.0,5405144268.0,69.0,69.0,7486.29,135.42,-0.05486876491307802,-0.03430079155672825,FALSE
Lisk,33.0,LSK,2.21,0.00027947,-1.73,7.75,27.74,80.76,57.64,44.49,-22.56,-56.09,258.94,258.94,10.42,10.42,116.973,132088171.0,,85.0,,,90.0,83.0,73.0,95.0,100.0,100.0,100.0,2931173.0,34.0,34.0,0.6884,83.92,-0.6885067873303167,-0.6759094770989418,FALSE
