Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months
0x,40,ZRX,0.3399,0.00004291,0.32,-4.69,33.14,14.83,5.10,-3.20,-55.79,-71.28,199.98 MM,$ 199.98 MM,43.39 MM,$ 43.39 MM,588.414 MM,"1,000,000,000",--,91.80,83,100,90,88,88,95,100,---,100,"9,011,342",18,18
Electroneum,100,ETN,0.0057,0.00000072,-3.17,21.73,11.41,-14.26,-26.24,-28.50,-66.60,-51.55,54.15 MM,$ 54.15 MM,1.27 MM,$ 1.27 MM,9.455 Bn,"9,454,625,553","21,000,000,000",91.65,86,100,90,98,87,95,100,---,90,"269,955",15,15
Apollo Currency,174,APL,0.0015,0.00000019,-0.50,5.13,2.58,-22.00,88.70,89.77,11.61,11.61%,22.50 MM,$ 22.50 MM,1.16 MM,$ 1.16 MM,14.685 Bn,"21,165,096,531",--,90.20,---,---,90,100,82,100,100,---,90,"911,827",6,6
Zcash,22,ZEC,76.53,0.00966221,0.45,1.61,36.10,45.53,24.35,16.46,-40.57,-58.48,501.00 MM,$ 501.00 MM,1.02 Bn,$ 1.02 Bn,6.546 MM,"6,546,206",--,88.25,100,100,80,98,77,55,100,---,100,"179,198,463",27,27
Nano,36,NANO,1.85,0.00023367,0.83,-2.80,25.96,97.79,85.04,70.97,-1.62,-22.35,246.63 MM,$ 246.63 MM,27.32 MM,$ 27.32 MM,133.248 MM,"133,248,289","133,248,290",88.15,66,0,90,98,92,95,100,---,90,"2,506,858",23,23
Dash,13,DASH,151.59,0.01913793,0.59,0.81,35.31,108.29,81.21,65.44,-10.75,-40.02,1.34 Bn,$ 1.34 Bn,579.09 MM,$ 579.09 MM,8.810 MM,"8,810,252","18,900,000",87.95,100,75,100,100,79,45,100,---,90,"151,097,305",60,60
PIVX,123,PIVX,0.6688,0.00008444,-0.43,-1.36,16.76,-10.71,-23.32,-6.32,-50.03,-64.79,37.98 MM,$ 37.98 MM,2.88 MM,$ 2.88 MM,56.781 MM,"56,781,166",--,87.25,---,---,90,98,75,100,100,---,90,"619,410",36,36
Qtum,31,QTUM,3.16,0.00039943,-0.47,0.65,35.57,52.17,38.79,17.10,-21.32,-59.25,302.86 MM,$ 302.86 MM,389.89 MM,$ 389.89 MM,95.725 MM,"101,474,528","107,822,406",87.05,80,75,90,88,76,95,100,---,100,"171,498,103",20,20
Augur,34,REP,23.51,0.00296836,-0.29,0.33,21.43,59.39,149.91,163.42,60.75,-21.49,258.63 MM,$ 258.63 MM,17.09 MM,$ 17.09 MM,11.000 MM,"11,000,000",--,86.95,86,50,90,88,88,75,100,---,90,"10,520,821",39,39
Bancor,108,BNT,0.7635,0.00009639,-0.12,3.50,36.23,40.69,11.24,19.40,-44.40,-66.11,46.53 MM,$ 46.53 MM,4.75 MM,$ 4.75 MM,60.948 MM,"71,673,161",--,86.95,63,75,90,98,86,50,100,---,90,"1,449,247",20,20
IOTA,14,MIOTA,0.4195,0.00005296,-0.17,-0.71,53.39,39.22,13.01,13.56,-15.07,-57.26,1.17 Bn,$ 1.17 Bn,55.74 MM,$ 55.74 MM,2.780 Bn,"2,779,530,283","2,779,530,283",86.75,100,100,90,90,77,75,100,---,90,"8,583,398",20,20
Cardano,10,ADA,0.0890,0.00001124,-0.46,-0.89,44.72,104.04,80.60,103.42,15.94,-46.07,2.31 Bn,$ 2.31 Bn,288.79 MM,$ 288.79 MM,25.927 Bn,"31,112,483,745","45,000,000,000",86.50,100,0,90,88,80,100,100,---,100,"27,481,499",16,16
QuarkChain,153,QKC,0.0234,0.00000296,-0.26,0.21,16.32,-31.82,-41.66,-47.20,-51.95,-68.49,26.62 MM,$ 26.62 MM,16.75 MM,$ 16.75 MM,1.136 Bn,"10,000,000,000",--,86.35,83,100,80,76,84,80,100,---,100,"16,995,214",8,8
Golem,62,GNT,0.0957,0.00001208,0.74,10.59,41.30,47.92,33.86,30.40,-43.82,-68.83,92.22 MM,$ 92.22 MM,12.41 MM,$ 12.41 MM,963.622 MM,"1,000,000,000",--,85.90,100,25,90,88,88,20,100,---,100,"1,123,670",27,27
NEM,17,XEM,0.0967,0.00001220,1.74,32.42,103.30,73.15,45.86,29.91,2.83,-42.67,869.87 MM,$ 869.87 MM,107.25 MM,$ 107.25 MM,9.000 Bn,"8,999,999,999",--,85.85,100,75,90,98,77,45,100,---,90,"13,781,315",46,46
Bitcoin,1,BTC,"7,920.90",1.0000,0.04,-2.58,29.76,121.72,95.92,98.00,22.25,7.07,140.23 Bn,$ 140.23 Bn,33.59 Bn,$ 33.59 Bn,17.704 MM,"17,704,275","21,000,000",85.80,---,---,100,90,72,5,100,---,100,"5,405,144,268",69,69
Lisk,33,LSK,2.21,0.00027947,-1.73,7.75,27.74,80.76,57.64,44.49,-22.56,-56.09,258.94 MM,$ 258.94 MM,10.42 MM,$ 10.42 MM,116.973 MM,"132,088,171",--,85.00,---,---,90,83,73,95,100,---,100,"2,931,173",34,34
Monero,12,XMR,88.06,0.01111802,-0.21,-5.57,35.78,93.35,68.42,62.32,-20.15,-33.14,1.50 Bn,$ 1.50 Bn,79.86 MM,$ 79.86 MM,16.985 MM,"16,984,575",--,84.95,---,---,50,98,77,75,100,---,100,"29,651,141",57,57
Aion,83,AION,0.2250,0.00002840,0.52,-1.15,27.95,68.69,36.49,32.56,-45.00,-74.79,69.65 MM,$ 69.65 MM,6.59 MM,$ 6.59 MM,309.582 MM,"309,581,662",--,84.30,80,50,90,63,86,100,100,---,100,"2,041,962",16,16
Skycoin,151,SKY,1.83,0.00023074,0.62,14.25,63.17,78.37,59.17,62.01,-40.43,-70.56,27.41 MM,$ 27.41 MM,23.89 MM,$ 23.89 MM,15.000 MM,"25,000,000","100,000,000",84.15,46,75,50,100,82,75,100,---,100,"514,114",22,22
TRON,11,TRX,0.0290,0.00000366,-0.11,-5.23,23.13,11.42,26.07,39.79,24.03,-18.49,1.93 Bn,$ 1.93 Bn,1.26 Bn,$ 1.26 Bn,66.682 Bn,"99,281,283,754",--,84.05,66,0,100,98,68,95,100,---,100,"268,864,804",17,17
