Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months
Cosmos,15,ATOM,3.77,0.00050367,0.36,0.97,-1.53,18.50,0.89,39.93,37.91,-18.10,719.02 MM,,198.84 MM,,190.688 MM,"237,928,231",--,92.20,---,---,80,98,90,75,70,---,100,"162,232,104",9,17.00
0x,44,ZRX,0.2344,0.00003131,-0.09,-2.45,-7.50,-4.35,-23.35,-27.88,43.53,-25.51,141.15 MM,,14.26 MM,,602.160 MM,"1,000,000,000",--,90.80,83,100,90,88,88,75,100,---,100,"26,037,174",28,50.00
Monero,13,XMR,54.19,0.00723824,-0.36,0.10,0.48,6.87,-14.69,2.03,-30.86,-38.57,939.84 MM,,146.38 MM,,17.344 MM,"17,344,265",--,89.85,---,---,90,100,77,55,100,---,100,"168,638,704",67,50.00
Zilliqa,84,ZIL,0.0064,0.00000085,0.56,0.73,24.01,29.41,-1.51,32.97,-7.95,-67.23,62.15 MM,,17.10 MM,,9.734 Bn,"13,025,447,281",21,89.65,86,100,90,98,77,75,100,---,100,"10,108,318",22,42.00
IOTA,19,MIOTA,0.2052,0.00002741,0.07,-0.92,-0.20,-4.94,-26.79,-20.19,-16.34,-49.69,570.30 MM,,4.48 MM,,2.780 Bn,"2,779,530,283","2,779,530,283",89.45,100,100,100,98,77,75,100,---,90,"9,025,085",30,42.00
Dash,21,DASH,52.40,0.00699900,-0.26,-1.24,-2.75,-5.88,-28.06,-21.27,-39.98,-68.13,481.98 MM,,257.31 MM,,9.199 MM,"9,198,756","18,900,000",89.45,100,75,100,100,79,75,100,---,90,"344,029,568",70,42.00
Apollo Currency,258,APL,0.0008,0.00000010,0.90,5.46,-1.04,5.13,-47.12,-8.05,-29.65,-49.37,11.18 MM,,1.05 MM,,14.685 Bn,"21,165,096,531",--,88.40,---,---,90,100,78,80,100,---,90,"426,893",16,50.00
PIVX,242,PIVX,0.2223,0.00002969,0.91,0.65,-1.14,13.37,-5.99,1.21,-35.54,-66.30,12.62 MM,,229.18 K,,56.781 MM,"56,781,166",--,87.75,---,---,90,98,71,80,100,---,100,"3,735,208",46,33.00
Bancor,213,BNT,0.2641,0.00003528,-0.23,-1.27,-3.48,6.87,-18.48,-13.08,-28.17,-63.65,16.60 MM,,15.25 MM,,62.869 MM,"67,902,180",--,87.25,63,75,90,98,82,80,100,---,90,"7,355,226",30,42.00
Golem,115,GNT,0.0367,0.00000491,-0.24,-0.88,-1.37,-0.01,-18.80,-17.52,-37.41,-58.21,36.00 MM,,1.95 MM,,980.050 MM,"1,000,000,000",--,86.60,100,25,90,88,82,70,100,---,100,"3,511,678",37,42.00
Qtum,40,QTUM,1.74,0.00023300,0.20,-1.07,-1.74,1.95,-21.33,6.31,-17.24,-43.85,167.83 MM,,256.58 MM,,96.220 MM,"101,969,644","107,822,406",86.05,80,75,90,88,76,75,100,---,100,"336,000,250",30,50.00
Electroneum,110,ETN,0.0039,0.00000052,-0.40,-1.97,0.91,16.41,3.50,8.14,8.94,-19.75,38.31 MM,,106.57 K,,9.914 Bn,"9,913,819,107","21,000,000,000",85.75,86,100,90,98,79,25,100,---,90,"595,493",25,33.00
Cardano,10,ADA,0.0385,0.00000514,0.12,-0.31,-2.63,4.69,-11.03,5.59,-17.49,-54.26,998.32 MM,,28.10 MM,,25.927 Bn,"31,112,483,745","45,000,000,000",85.50,100,0,90,98,80,80,100,---,90,"66,856,291",26,42.00
Nano,53,NANO,0.8174,0.00010919,-0.14,-1.12,-4.88,4.33,-15.53,11.75,-11.52,-53.28,108.92 MM,,1.64 MM,,133.248 MM,"133,248,297","133,248,297",84.65,66,0,90,98,92,25,100,---,90,"3,550,594",33,42.00
Lisk,62,LSK,0.6884,0.00009195,0.65,0.32,0.89,2.18,-13.83,-6.44,-36.58,-65.96,83.92 MM,,975.69 K,,121.899 MM,"136,920,118",--,84.10,---,---,100,83,71,25,100,---,100,"1,585,726",44,33.00
QuarkChain,284,QKC,0.0041,0.00000055,0.09,3.22,0.62,8.10,-15.93,-7.50,-59.89,-82.56,10.00 MM,,1.98 MM,,2.419 Bn,"5,726,747,032","10,000,000,000",83.90,83,100,80,78,82,75,100,---,90,"5,656,298",18,33.00
Ravencoin,41,RVN,0.0330,0.00000441,1.08,3.37,47.87,51.63,12.28,18.17,3.24,-41.89,165.63 MM,,36.68 MM,,5.021 Bn,"5,020,705,000","21,000,000,000",83.55,---,---,80,98,75,20,70,---,90,"10,564,901",21,33.00
Nexo,92,NEXO,0.0968,0.00001293,-0.13,0.68,4.30,2.22,-6.30,6.10,16.37,44.66,54.20 MM,,9.13 MM,,560.000 MM,"1,000,000,000",--,83.25,85,100,70,88,89,25,100,90,---,"8,895,106",19,50.00
TRON,12,TRX,0.0145,0.00000194,-0.12,-1.68,-5.32,1.33,-25.67,-2.22,-8.16,-49.11,969.33 MM,,915.19 MM,,66.682 Bn,"99,281,283,754",--,83.05,66,0,100,98,68,75,100,---,100,"1,121,043,918",27,58.00
WAXP,183,WAXP,0.0209,0.00000279,0.49,-2.42,-12.50,-0.65,-23.20,-6.09,-48.41,-70.75,19.79 MM,,168.96 K,,947.281 MM,"3,577,744,081",--,81.95,83,75,80,88,78,80,100,---,80,"489,049",23,33.00
Elastos,148,ELA,1.61,0.00021573,-0.50,-0.18,-2.30,-0.79,-23.28,-10.84,-31.38,-52.55,27.37 MM,,1.22 MM,,16.948 MM,"35,192,838",--,81.75,60,25,80,98,82,75,100,---,80,"3,013,478",22,50.00
Polymath,283,POLY,0.0223,0.00000297,-0.64,0.40,5.13,3.67,-19.59,-5.56,-35.90,-76.53,10.02 MM,,4.56 MM,,450.000 MM,"1,000,000,000",--,81.75,80,50,80,78,82,75,100,---,90,"4,539,609",22,33.00
IRISnet,254,IRIS,0.0242,0.00000323,-0.59,5.16,4.10,34.12,-27.60,42.50,-9.86,-68.35,11.66 MM,,10.41 MM,,482.482 MM,"2,011,361,796",--,81.20,---,---,30,98,80,70,100,---,90,"27,377,298",8,17.00
ChainLink,16,LINK,2.03,0.00027177,0.11,-3.06,-7.14,-11.67,-24.09,-22.04,9.11,82.72,712.10 MM,,82.70 MM,,350.000 MM,"1,000,000,000",--,81.00,66,75,80,63,91,20,100,---,100,"146,352,437",27,75.00
IoTeX,179,IOTX,0.0040,0.00000053,-0.35,0.40,-6.68,1.36,-29.66,-8.08,-3.22,-61.70,21.42 MM,,1.86 MM,,5.400 Bn,"10,000,000,000",--,80.80,86,75,80,78,82,30,100,---,90,"2,206,216",18,42.00
ZCoin,131,XZC,3.51,0.00046896,-0.13,-1.26,-4.58,-6.58,-29.82,-25.90,-32.25,-49.74,31.50 MM,,3.24 MM,,8.972 MM,"21,400,000","21,400,000",80.75,66,25,90,98,69,25,100,---,100,"5,478,231",38,50.00
BitShares,89,BTS,0.0201,0.00000269,0.06,-0.35,-2.59,-4.57,-31.57,-22.47,-38.95,-69.03,55.37 MM,,1.08 MM,,2.749 Bn,"2,749,080,000","3,600,570,502",80.70,---,---,90,95,61,55,100,---,90,"1,776,311",65,42.00
Verge,72,XVG,0.0045,0.00000060,0.99,3.58,16.55,14.86,12.60,44.41,1.30,-57.94,72.13 MM,,37.85 MM,,16.094 Bn,"16,093,851,479","16,555,000,000",80.65,86,0,100,98,75,5,100,---,90,"3,883,216",61,42.00
Basic Attention Token,32,BAT,0.1892,0.00002528,0.34,-3.04,-4.94,-7.94,-25.46,-20.09,7.70,-48.56,257.56 MM,,54.04 MM,,1.361 Bn,"1,500,000,000",--,80.60,80,75,80,88,89,25,100,70,---,"59,206,066",30,58.00
Contentos,298,COS,0.0133,0.00000177,0.75,1.39,9.63,15.66,-12.38,-4.62,-38.26,,8.96 MM,,7.12 MM,,674.396 MM,"10,000,000,000",--,80.60,---,---,50,98,78,70,100,---,80,"8,356,199",6,0.00
NEM,29,XEM,0.0360,0.00000481,-0.03,-0.04,0.03,0.22,-13.92,-6.42,-24.35,-59.60,324.01 MM,,29.29 MM,,9.000 Bn,"8,999,999,999",--,80.55,100,75,100,100,76,75,100,---,50,"26,945,391",56,42.00
Aeternity,100,AE,0.1614,0.00002156,-0.20,-1.56,-0.06,-3.04,-33.46,-9.83,-23.97,-69.97,47.39 MM,,13.91 MM,,293.671 MM,"339,492,267",--,80.30,100,100,80,73,73,20,100,---,100,"28,233,211",30,42.00
Status,111,SNT,0.0110,0.00000147,0.17,-0.38,-1.77,4.93,-18.16,-4.63,-29.27,-59.81,38.24 MM,,174.48 MM,,3.470 Bn,"6,804,870,174",--,80.25,66,50,90,63,84,75,70,---,100,"197,432,412",29,42.00
Zcash,34,ZEC,29.59,0.00395286,0.18,-0.03,4.26,2.69,-24.07,-10.41,-39.06,-60.59,237.27 MM,,94.12 MM,,8.018 MM,"8,017,906",--,80.15,100,100,30,98,75,55,100,---,90,"146,079,675",37,50.00
Bitcoin Diamond,79,BCD,0.3617,0.00004831,-1.23,-0.58,-2.73,-5.18,-31.85,-20.15,-40.07,-63.35,67.45 MM,,2.17 MM,,186.493 MM,"189,492,898","210,000,000",80.00,---,---,50,88,86,25,100,---,80,"7,429,123",24,42.00
Bitcoin Cash,4,BCH,211.97,0.02831507,0.24,-0.98,-1.99,3.69,-27.35,-3.72,-30.43,-49.23,3.85 Bn,,1.04 Bn,,18.155 MM,"18,154,650","21,000,000",79.95,---,---,80,88,77,0,100,---,80,"1,844,268,091",28,50.00
