Advisors,Social,GitHub,1h,7d,90d,24h Vol BTC,45d,Avg. volume,MC #,30d,Coin,Symbol,24h,Product,Total Supply,Team,Business,Age (mo),Price,200d,14d,Winning months,Max. Supply,24h Vol,BTC,Name,Communication,Mkt. Cap,MCAP BTC,Circ. Supply,Brand/Buzz
83.0,88.0,100.0,0.32,33.14,-55.79,43.39,-3.2,9011342.0,40.0,5.1,88.0,ZRX,-4.69,90.0,1000000000.0,91.8,100.0,18.0,0.3399,-71.28,14.83,18.0,,43.39,4.291e-05,0x,95.0,199.98,199.98,588.414,100.0
86.0,87.0,90.0,-3.17,11.41,-66.6,1.27,-28.5,269955.0,100.0,-26.24,98.0,ETN,21.73,90.0,9454625553.0,91.65,100.0,15.0,0.0057,-51.55,-14.26,15.0,21000000000.0,1.27,7.2e-07,Electroneum,95.0,54.15,54.15,9.455,100.0
,82.0,90.0,-0.5,2.58,11.61,1.16,89.77,911827.0,174.0,88.7,100.0,APL,5.13,90.0,21165096531.0,90.2,100.0,6.0,0.0015,11.61,-22.0,6.0,,1.16,1.9e-07,Apollo Currency,100.0,22.5,22.5,14.685,
100.0,77.0,100.0,0.45,36.1,-40.57,1.02,16.46,179198463.0,22.0,24.35,98.0,ZEC,1.61,80.0,6546206.0,88.25,100.0,27.0,76.53,-58.48,45.53,27.0,,1.02,0.00966221,Zcash,55.0,501.0,501.0,6.546,100.0
66.0,92.0,90.0,0.83,25.96,-1.62,27.32,70.97,2506858.0,36.0,85.04,98.0,NANO,-2.8,90.0,133248289.0,88.15,100.0,23.0,1.85,-22.35,97.79,23.0,133248290.0,27.32,0.00023367,Nano,95.0,246.63,246.63,133.248,0.0
100.0,79.0,90.0,0.59,35.31,-10.75,579.09,65.44,151097305.0,13.0,81.21,100.0,DASH,0.81,100.0,8810252.0,87.95,100.0,60.0,151.59,-40.02,108.29,60.0,18900000.0,579.09,0.01913793,Dash,45.0,1.34,1.34,8.81,75.0
,75.0,90.0,-0.43,16.76,-50.03,2.88,-6.32,619410.0,123.0,-23.32,98.0,PIVX,-1.36,90.0,56781166.0,87.25,100.0,36.0,0.6688,-64.79,-10.71,36.0,,2.88,8.444e-05,PIVX,100.0,37.98,37.98,56.781,
80.0,76.0,100.0,-0.47,35.57,-21.32,389.89,17.1,171498103.0,31.0,38.79,88.0,QTUM,0.65,90.0,101474528.0,87.05,100.0,20.0,3.16,-59.25,52.17,20.0,107822406.0,389.89,0.00039943,Qtum,95.0,302.86,302.86,95.725,75.0
86.0,88.0,90.0,-0.29,21.43,60.75,17.09,163.42,10520821.0,34.0,149.91,88.0,REP,0.33,90.0,11000000.0,86.95,100.0,39.0,23.51,-21.49,59.39,39.0,,17.09,0.00296836,Augur,75.0,258.63,258.63,11.0,50.0
63.0,86.0,90.0,-0.12,36.23,-44.4,4.75,19.4,1449247.0,108.0,11.24,98.0,BNT,3.5,90.0,71673161.0,86.95,100.0,20.0,0.7635,-66.11,40.69,20.0,,4.75,9.639e-05,Bancor,50.0,46.53,46.53,60.948,75.0
100.0,77.0,90.0,-0.17,53.39,-15.07,55.74,13.56,8583398.0,14.0,13.01,90.0,MIOTA,-0.71,90.0,2779530283.0,86.75,100.0,20.0,0.4195,-57.26,39.22,20.0,2779530283.0,55.74,5.296e-05,IOTA,75.0,1.17,1.17,2.78,100.0
100.0,80.0,100.0,-0.46,44.72,15.94,288.79,103.42,27481499.0,10.0,80.6,88.0,ADA,-0.89,90.0,31112483745.0,86.5,100.0,16.0,0.089,-46.07,104.04,16.0,45000000000.0,288.79,1.124e-05,Cardano,100.0,2.31,2.31,25.927,0.0
83.0,84.0,100.0,-0.26,16.32,-51.95,16.75,-47.2,16995214.0,153.0,-41.66,76.0,QKC,0.21,80.0,10000000000.0,86.35,100.0,8.0,0.0234,-68.49,-31.82,8.0,,16.75,2.96e-06,QuarkChain,80.0,26.62,26.62,1.136,100.0
100.0,88.0,100.0,0.74,41.3,-43.82,12.41,30.4,1123670.0,62.0,33.86,88.0,GNT,10.59,90.0,1000000000.0,85.9,100.0,27.0,0.0957,-68.83,47.92,27.0,,12.41,1.208e-05,Golem,20.0,92.22,92.22,963.622,25.0
100.0,77.0,90.0,1.74,103.3,2.83,107.25,29.91,13781315.0,17.0,45.86,98.0,XEM,32.42,90.0,8999999999.0,85.85,100.0,46.0,0.0967,-42.67,73.15,46.0,,107.25,1.22e-05,NEM,45.0,869.87,869.87,9.0,75.0
